id	name	iso_code	glottocode	phylum_id	genus_id	contributor_id	source	comments	dialect	latitude	longitude	head_dialect	alternate_names	deprecated
1	Greek (Standard)	ell		3	9	2	Arvaniti, Amalia. 2007. Greek Phonetics: The State of the Art. Journal of Greek Linguistics 8: 97–208.		0	38.0	24.0			0
2	Rawang (Mutwang)	raw		4	36	1	Morse, Robert H. 1963. Phonology of Rawang. Anthropological Linguistics 5.17–41; Morse, Stephen A. 1988. A Short Update on Rawang Phonology. Linguistics of the Tibeto-Burman Area 11.120–132.		0	27.89462	97.69328			0
3	Ingush	inh		5	48	2	Nichols, Johanna. 2011. Ingush grammar. Berkeley • Los Angeles • London: University of California Press	For some speakers /ɔa/ is also phonemic.	0	43.2	44.8			0
4	Laz (Arhavi)	lzz		6	50	2	Lacroix, René. 2009. Description du dialecte laze d’Arhavi (caucasique du sud, Turquie). Grammaire et textes. Université Lumière Lyon 2. École Doctorale : Lettres, Langues, Linguistique et Arts. Faculté des Lettres, Sciences du Langage et Arts Laboratoire Dynamique du Langage.	/œ/, /y/ and /f/ are marginal. The following clusters are not found morpheme-initially, but arise when prefixes are attached: pʰtʃ, pʼtʃʼ, bdʒ, bdz, pʼtsʼ, pʼt̪ʼ, pʼkʼ, gb, gdz, kʼtsʼ, pʼt̪ʼkʼ, bdʒg, pʼtʃʼkʼ, pʰtʃv, pʰtʃχ, bdzg, bʒl, pʰtst̪ʰ, pʰt̪ʰχ, pʰts, pʰχɾ, kʼtʃʼkʼ, kʰχv	0	41.35	41.31			0
5	Kangjia	kxs		7	55	1	Nugteren, Hans. 2011. Mongolic Phonology and the Qinghai-Gansu Languages. Utrecht: Netherlands Graduate School of Linguistics / Landelijke (LOT)		0	35.93672	101.98152			0
6	Asturian (Western)	ast		3	15	2	Arias, Álvaro. 2009. El asturiano: situación actual y caracterización fonológica y morfosintáctica. Minorized Languages in Europe. State and Survival, ed. por Josep R. Guzmán y Joan Verdegal, Santiago de Compostela & Brno: Compostela Group of Universities & Masaryk University Press, 234–265.		0	43.5	-6.2			0
7	Northeastern Thai (Ubon)	tts		9	70	1	Gedney, William J., and Thomas J. Hudak (eds.) 1997. William J. Gedney’s Tai dialect studies: glossaries, texts, and translations. Michigan papers on South and Southeast Asia no. 45. Ann Arbor, Mich: Center for South and Southeast Asian Studies, The University of Michigan.	Vowel length was not investigated.	0	15.2286861	104.856			0
8	Achang (Lianghe)	acn		4	32	1	Namkung, Ju. 1996. Phonological inventories of Tibeto-Burman languages. Berkley: Sino-Tibetan Etymological Dictionary and Thesaurus Project, Center for Southeast Asia Studies, University of California.1–2		0	24.641101	98.271662			0
9	Ahi	yix		4	32	1	Namkung, Ju. 1996. Phonological inventories of Tibeto-Burman languages. Berkley: Sino-Tibetan Etymological Dictionary and Thesaurus Project, Center for Southeast Asia Studies, University of California.9–10		0	24.372092	103.705807			0
10	Min Dong Chinese (Fuzhou)	cdo		4	38	1	Peng, Gongguan. 2011. A phonetic study of Fuzhou Chinese. Hong Kong: City University of Hong Kong. http://dspace.cityu.edu.hk/handle/2031/6514.		0	26.074508	119.296494			0
11	Shixing	sxg		4	17	1	Chirkova, Katia. 2009. Shixing, a Sino-Tibetan language of South-West China: A grammatical sketch with two appended texts. Linguistics of the Tibeto-Burman area.32.1.1-90.		0	28.278134	100.650617			0
12	Mara (Lakher)	mrh		4	29	1	Michelle Arden. 2010. A Phonetic, Phonological, and Morphosyntactic Analysis of the Mara Language. MA thesis. San Jose State University.		0	22.229438	93.223042			0
13	Lisu (Flowery)	lis		4	32	1	Bradley, David. 2003. Lisu. In LaPolla, Randy J., and Graham Thurgood (eds.) Sino-Tibetan Languages. London: Routledge, 222–235.		0	25.800055	98.856354			0
14	Scottish Gaelic (Lewis)	gla		3	7	3	Ladefoged, Peter et al. 1998. Phonetic Structures of Scottish Gaelic. Journal of the International Phonetic Association 28: 1-41.		0	58.2185289	-6.4392309			0
15	Basque (Baztan)	eus		10	71	2	Hualde, José Ignacio. 1991. Basque phonology. London: Routledge.	/x/ is exceptional.	0	43.2	-1.5			0
16	Udihe (Bikin)	ude		11	72	2	Nikolaeva, Irina; Tolskaya, Maria. 2001. A grammar of Udihe. Berlin, New York: Mouton de Gruyter	/f/ and /tʃ/ are marginally phonemic.	0	46.54	135.36			0
17	Chechen (Ploskost)	che		5	48	2	Nichols, Johanna. 1994. Chechen. The Indigenous languages of the Caucasus. Caravan Books, Delmar, NY; Магомедов, А.Г. 1974. Система гласных чечено-ингушского языка. Махачкала, Даг. ФАН СССР	Nichols 1994 treats pharyngealization as a consonantal feature, while I opt for a segmental treatment. I do not include /æ/ (pharyngealized allophone of /e̞/ and shortened allophone of /e̞ː/).	0	43.12	45.73			0
18	Jèrriais (Eastern Jersey)	nrf		3	15	2	Spence, N.C.W. 1985. Phonologie descriptive des parlers jersiais : II. les voyelles [suite]. Revue de linguistique romane 49; Spence, N.C.W. 1987. Phonologie descriptive des parlers jersiais : II. les consonnes [suite]. Revue de linguistique romane 51.	/ŋ, wo, wɔː, øy̯, øːy̯, ɒːi̯/ are marginal. The list of onset clusters is hardly exhaustive.	0	49.2	-2.05			0
19	Kunigami (Nakijin)	xug		13	84	2	Curry, Stewart A. 2004. Small linguistics: phonological history and lexical loans in Nakijin dialect Okinawan. University of Hawai'i		0	26.6825769	127.972628			0
