iso_code	inventory_id	name	Contributor_ID	count_phonemes	count_consonants	count_vowels	count_tones	glot_fam	pop	forty_mean	continent	names	p_a	source	wals_code	wals_value	wals_p_a	round_count_tones	lat	lon
aal	NA	NA	NA	NA	NA	NA	NA	Afro-Asiatic	5000	4.2	Africa	AFADE	1	wals	ktk	2	1	NA	11.33	15.33
aar	1342	Afar	GM	27	17	10	0	Afro-Asiatic	1951000	4.4	Africa	AFAR,AFAR_2,AFAR_3	0	phoible	NA	NA	NA	0	12	42
abb	1522	Bankon	GM	37	26	7	4	Atlantic-Congo	12000	2.789	Africa	BANKON	1	phoible	NA	NA	NA	4	4.42	9.58
abi	multiple	abidji	multiple	38.5	21	16.5	1	Atlantic-Congo	50500	3.5	Africa	ABIDJI,ABIDJI_2	1	phoible	NA	NA	NA	1	5.67	-4.58
abk	multiple	Abkhaz (Abzhywa)	multiple	66	63	3	0	Abkhaz-Adyge	190110	3.962	W and SW Eurasia	ABKHAZ,ABKHAZ_2	0	phoible	abk	1	0	0	43.08	41
abn	1297	Abua	GM	40	27	10	3	Atlantic-Congo	25000	4.267	Africa	ABUA	1	phoible	NA	NA	NA	3	4.91	6.69
abs	1684	Ambon Malay	GM	23	18	5	0	Austronesian	250000	4.469	S/SE Asia	AMBON_MALEIS,AMBONESE_MALAY	0	phoible	NA	NA	NA	0	-3.83	128.17
abu	1521	Abure	GM	38	20	14	4	Atlantic-Congo	55100	3.804	Africa	ABURE,ABURE_2,ABURE_3	1	phoible	NA	NA	NA	4	5.22	-3.64
acd	1302	Gechode	GM	51	29	22	0	Atlantic-Congo	10400	3.595	Africa	GECHODE,GIKYODE	0	phoible	NA	NA	NA	0	8.4	0.58
ach	1433	Acholi	GM	29	17	9	3	Nilotic	1527000	3.544	Africa	ACHOLI,ACHOLI_2	1	phoible	NA	NA	NA	3	3	32.67
acn	multiple	Achang (Lianghe)	multiple	59	36	23	1.5	Sino-Tibetan	62700	3.538	S/SE Asia	ACHANG,XIANDAO	1	phoible	NA	NA	NA	2	25	98.5
acv	NA	NA	NA	NA	NA	NA	NA	Palaihnihan	10	4.225	W N America	ACHUMAWI	1	wals	acm	2	1	NA	41.5	-121
acw	534	Meccan Arabic	EA	NA	NA	NA	0	Afro-Asiatic	14483300	4.422	W and SW Eurasia	HIJAZI_ARABIC	0	phoible	NA	NA	NA	0	26	38
acy	535	Cypriot Maronite Arabic	EA	NA	NA	NA	0	Afro-Asiatic	9760	4.339	W and SW Eurasia	ARABIC_CYPRIOT_SPOKEN	0	phoible	NA	NA	NA	0	35.25	33.5
ada	692	dangme	AA	39	23	12	4	Atlantic-Congo	1020000	3.289	Africa	DANGME,DANGME_2	1	phoible	NA	NA	NA	4	6.33	-0.12
adf	531	Dhofari Arabic	EA	NA	NA	NA	0	Afro-Asiatic	105000	4.527	W and SW Eurasia	DHOFARI_ARABIC	0	phoible	NA	NA	NA	0	17.08	54.49
adj	multiple	adioukrou	multiple	31.5	21	7	3.5	Atlantic-Congo	143000	3.554	Africa	ADIOUKROU,ADIOUKROU_2	1	phoible	NA	NA	NA	4	5.42	-4.58
adl	1722	Gallong	RA	29	17	12	0	Sino-Tibetan	30000	2.6	S/SE Asia	ADI_GALO,GALO	0	phoible	NA	NA	NA	0	28.23	94.07
adt	2931	Adnyamathanha	ER	27	24	3	0	Pama-Nyungan	110	4.58	Australia	ADNYAMATHANHA	0	phoible	NA	NA	NA	0	-30.5	139.5
adx	multiple	Khalong Tibetan	multiple	55.33	48	7.33	0	Sino-Tibetan	1800000	3.263	S/SE Asia	MAQU_TIBETAN	0	phoible	NA	NA	NA	0	34	102.07
ady	multiple	Adyghe	multiple	59	56	3	0	Abkhaz-Adyge	575900	3.85	W and SW Eurasia	ADYGHE,ADYGHE_2	0	phoible	NA	NA	NA	0	45.23	40.58
adz	41	Adzera	SPA	25	18	7	0	Austronesian	30000	4.613	S/SE Asia	ADZERA,AMARI,AZERA,YAROS	0	phoible	NA	NA	NA	0	-6.25	146.25
ael	1091	Ambele	PH	51	38	10	3	Atlantic-Congo	2600	2.538	Africa	AMBELE,AMBELE_2	1	phoible	NA	NA	NA	3	5.92	9.67
aer	multiple	Arrernte, Central	multiple	39.67	35.67	4	0	Pama-Nyungan	2840	5.096	Australia	AKARA,ARANDA,ARRERNTE_CENTRAL,ARRERNTE_EASTERN,ARRERNTE_EASTERN_2	0	phoible	amp	1	0	0	-24	136
aey	NA	NA	NA	NA	NA	NA	0	Nuclear_Trans_New_Guinea	5300	3.329	NG and Oceania	AMELE	0	wals	ame	1	0	NA	-5.25	145.58
afb	multiple	Standard Arabic (Kuwait)	multiple	NA	NA	NA	0	Afro-Asiatic	8841000	4.25	W and SW Eurasia	ARABIC_GULF_SPOKEN,KUWAITI_ARABIC	0	phoible	NA	NA	NA	0	26	49
afn	1385	Defaka	GM	42	18	19	5	Ijoid	200	3.433	Africa	DEFAKA	1	phoible	NA	NA	NA	5	4.58	7.5
afo	1300	Eloyi	GM	51	41	7	3	Atlantic-Congo	25000	3.942	Africa	ELOYI,ELOYI_2,ELOYI_3	1	phoible	NA	NA	NA	3	8	8.17
afr	1395	Afrikaans	GM	39	16	23	0	Indo-European	7225880	3.362	W and SW Eurasia	AFRIKAANS	0	phoible	NA	NA	NA	0	-31	22
aft	1295	Afitti	GM	26	17	6	3	Nyimang	4000	4.257	Africa	AFITTI	1	phoible	NA	NA	NA	3	12.47	30.75
afu	1523	Efutu	GM	50	30	18	2	Atlantic-Congo	129000	3.483	Africa	EFUTU	1	phoible	NA	NA	NA	2	5.33	-0.75
