id	language_id	tone
2	2	55
3	2	33
4	2	11
5	3	351
9	7	15
10	7	33
11	7	22ʔ
12	7	121
13	7	454
14	7	41ʔ
15	8	55
16	8	31
17	8	35
18	9	55
19	9	33
20	9	22
21	9	21
22	10	44
23	10	51
24	10	32
25	10	21
26	10	131
27	10	13
28	10	4
29	11	55
30	11	15
31	11	51
32	12	11
33	12	33
34	12	55
35	13	55
36	13	35
37	13	44
38	13	33
39	13	21
40	13	21ʔ
47	20	55
48	20	33
49	20	31
50	20	13
62	32	53
63	32	35
64	32	13
65	32	341
77	44	34ʔ
78	44	5
79	44	1331
80	44	31
83	47	55
84	47	51
85	47	13
89	51	53
90	51	44
91	51	12
92	51	31
96	55	55
97	55	11
98	55	15
99	55	51
102	58	55
103	58	33
104	58	13ɦ
105	58	11ɦ
115	68	13
116	68	53
118	70	55
119	70	11
121	72	55
122	72	11
123	72	15
124	72	51
128	76	55
129	76	51
130	76	34
131	76	31
132	76	12
133	76	21
139	82	55
140	82	11
141	83	31
142	83	33
143	84	15
144	84	51
148	88	55
149	88	53
150	88	22
151	88	21
160	97	55
161	97	53
162	97	35
163	97	31ɦ
164	97	33
165	97	22
166	97	31ʕ
167	98	341ʕ
168	99	23
169	99	51
174	104	55
175	104	33
176	104	53
177	104	31
178	104	11
179	104	13
181	106	55
182	106	35
183	106	214
184	106	51
186	108	11
187	108	55
190	111	55
191	111	343
192	111	14
193	111	44
194	111	11
205	122	14
206	122	22
207	122	53ʔ
208	122	44
209	122	41
210	122	454ʔ
218	130	51
219	130	15
220	131	24
221	131	21
222	131	31ʔ
223	131	55
224	131	41ʔ
225	132	13
226	132	33
227	132	33ʔ
228	132	45ʔ
229	133	43
230	133	45
231	133	33
232	133	51
233	134	31
234	134	11
235	134	13ʔ
236	134	53
237	134	35
238	134	21ʔ
243	139	55
244	139	53
245	139	33
246	139	31
247	140	11
248	140	55
255	147	11
256	147	55
257	147	51ʕ
258	147	51ʔ
264	153	55
265	153	52
266	153	24
267	153	121
271	157	55
272	157	12
273	157	11ʔ
274	157	21
275	157	33
276	157	31ʔ
279	160	14
280	160	31ʔ
281	160	43ʔ
282	160	33
283	160	54ʔ
284	160	45ʔ
287	163	45
288	163	44
289	163	312ʔ
290	163	21
291	163	31ʔ
296	168	55
297	168	33
298	168	31
302	172	55
303	172	11
307	176	33
308	176	35
309	176	53
310	176	21
311	176	11
312	176	54ʔ
313	176	21ʔ
316	179	55
317	179	13
318	179	231
319	179	51
328	188	412
329	188	23
330	188	354
332	190	33
333	190	32
334	190	24
335	190	32ʔ
336	190	31
337	190	43ʔ5
339	192	42
340	192	52
341	192	44
342	192	22
352	202	55
353	202	35
354	202	132
355	202	53
363	210	55
364	210	11
368	214	33
369	214	35
370	214	14
371	214	52
372	214	31
377	219	55
378	219	35
379	219	132
380	219	11
381	219	53
384	222	55
385	222	35
387	224	55
388	224	33
389	224	22
390	224	21
391	224	25
392	224	23
400	232	33
401	232	35
406	237	55
407	237	53
408	237	11
409	237	13
411	239	55
412	239	11
418	245	34
419	245	11
420	245	31ʔ
421	245	454
422	245	52
423	245	32
426	248	55
427	248	35
428	248	132
429	248	53
430	249	11
431	249	55
432	249	14
434	251	33
435	251	31
436	251	55
437	251	53
439	253	13
440	253	55
441	254	13
442	254	353
443	254	53
447	258	55
448	258	53
449	258	13
450	258	31
453	261	31
454	261	41
455	261	33
456	261	42
457	261	35
458	261	323
459	261	44
460	261	43
461	261	34
466	266	55
467	266	15
468	266	51
472	270	55
473	270	35
474	270	53
475	270	353
478	273	55
479	273	22
480	274	42
481	274	33
493	286	53
494	286	44
495	286	22
496	286	11
501	291	55
502	291	11ɦ
503	292	13
